id,target
0,0.02455
1,0.03963
2,0.05179
3,0.01171
4,0.01437
5,0.01875
6,0.03774
8,0.02501
10,0.04190
11,0.03805
12,0.04386
14,0.02318
15,0.05536
18,0.04190
21,0.05028
23,0.02490
24,0.03787
25,0.04694
27,0.03097
29,0.02371
30,0.02851
31,0.06114
32,0.03343
33,0.02972
37,0.02269
38,0.04926
39,0.07396
40,0.02113
41,0.04081
42,0.02889
44,0.02225
45,0.03487
47,0.04153
49,0.01675
51,0.04791
52,0.01629
53,0.03656
54,0.05573
55,0.01938
56,0.03667
57,0.09332
59,0.03349
60,0.04316
62,0.03821
63,0.08683
67,0.03309
68,0.01355
69,0.09405
70,0.03205
71,0.04912
73,0.02650
75,0.03850
76,0.02373
81,0.01719
82,0.02698
83,0.02620
86,0.02340
87,0.05606
88,0.02560
91,0.07273
92,0.02270
94,0.01806
97,0.04191
100,0.03248
102,0.04966
103,0.02488
105,0.03642
106,0.06893
108,0.03151
113,0.03896
114,0.03214
115,0.01785
118,0.05473
122,0.02450
124,0.03997
126,0.03616
128,0.03204
129,0.04009
130,0.03980
131,0.02420
132,0.02912
133,0.02481
134,0.03788
135,0.08069
136,0.02047
139,0.01707
140,0.01624
141,0.06042
146,0.03733
148,0.03261
151,0.01642
152,0.03312
154,0.03361
157,0.03618
158,0.01039
159,0.09110
161,0.03211
164,0.01395
165,0.05180
167,0.03370
168,0.04301
169,0.03251
171,0.06516
172,0.03713
173,0.01972
174,0.02272
175,0.04634
176,0.03527
178,0.04133
179,0.02052
180,0.01888
181,0.02284
182,0.08575
183,0.06366
184,0.05547
185,0.02494
187,0.03976
188,0.02002
190,0.03833
191,0.04289
192,0.05511
195,0.03545
196,0.04172
198,0.06820
201,0.05581
202,0.04632
203,0.01881
204,0.02551
207,0.02169
213,0.02914
219,0.02734
220,0.02526
222,0.06370
226,0.01381
228,0.10551
230,0.02172
231,0.02998
232,0.04657
233,0.02592
234,0.01034
236,0.03458
237,0.03380
238,0.06320
240,0.05839
241,0.01845
242,0.07457
243,0.01785
245,0.01515
246,0.04421
247,0.02264
249,0.05308
250,0.02562
251,0.01761
252,0.02506
253,0.01670
254,0.03507
255,0.07011
256,0.05750
257,0.02924
258,0.03373
259,0.08533
260,0.00844
262,0.01300
267,0.02374
268,0.02429
270,0.02540
272,0.03692
273,0.03752
274,0.01576
275,0.02790
276,0.04110
277,0.03905
278,0.07903
279,0.06658
281,0.03733
282,0.03068
283,0.06735
287,0.03092
288,0.09466
289,0.03595
290,0.01674
291,0.05490
292,0.11970
293,0.03000
294,0.02400
295,0.02605
296,0.10542
297,0.04251
298,0.03611
299,0.06860
300,0.04518
303,0.03562
304,0.08444
308,0.01326
314,0.11810
315,0.02028
317,0.04935
318,0.06253
320,0.04823
322,0.06840
323,0.02828
327,0.02815
329,0.06909
331,0.01579
332,0.14317
333,0.06588
334,0.02569
335,0.02749
336,0.05039
337,0.05240
341,0.04139
343,0.02934
345,0.03620
347,0.03933
348,0.04002
349,0.03861
352,0.02215
353,0.02301
354,0.05642
355,0.03223
356,0.03667
357,0.02292
358,0.01815
359,0.01909
361,0.05680
362,0.03151
365,0.03741
366,0.06166
368,0.02604
369,0.02902
371,0.01744
373,0.02206
376,0.03213
377,0.03304
379,0.02829
381,0.03236
382,0.02712
383,0.02777
384,0.02514
385,0.02931
386,0.05688
387,0.02242
388,0.06503
390,0.02316
391,0.03164
392,0.05657
393,0.03608
394,0.02220
396,0.04627
400,0.03010
402,0.02756
403,0.02082
405,0.02974
407,0.03025
409,0.03747
411,0.04708
412,0.02758
414,0.08838
415,0.03200
416,0.01476
418,0.01377
419,0.02409
421,0.02421
422,0.02963
423,0.04336
424,0.05115
426,0.03221
427,0.07528
428,0.03830
436,0.04381
438,0.04560
442,0.03002
443,0.02366
445,0.02668
446,0.03609
